0 | 123
2 | 89
4 | 50
6 | 23
8 | 181
10 | 16
12 | 7
14 | 11
16 | 315
18 | 3
20 | 1
22 | 8
24 | 10
26 | 24
28 | 13
30 | 5
32 | 2
34 | 2
36 | 6
38 | 18
40 | 9
42 | 1
44 | 7
46 | 1
48 | 4
50 | 8
52 | 12
54 | 8
56 | 294
60 | 23
62 | 2
64 | 1
66 | 5
68 | 1
70 | 1
72 | 719
76 | 50
80 | 104
82 | 7
84 | 1
88 | 5
90 | 2
92 | 63
96 | 88
98 | 1
100 | 98
102 | 1
104 | 7
106 | 35
108 | 3
110 | 2
112 | 2
114 | 4
116 | 2
120 | 254
122 | 19
124 | 1
128 | 5
130 | 77
132 | 1
134 | 1
136 | 345
144 | 23
148 | 12
152 | 811
156 | 7
158 | 1
160 | 47
164 | 1
166 | 17
168 | 5
172 | 117
174 | 2
176 | 18
180 | 3
182 | 1
184 | 4
188 | 6
196 | 143
198 | 2
200 | 11
204 | 1
206 | 1
208 | 16
210 | 30
212 | 4
216 | 1
218 | 1
220 | 8
226 | 162
232 | 19983
236 | 5
242 | 18924
244 | 1
246 | 49
248 | 1
252 | 1
256 | 3
260 | 1
264 | 3854
266 | 2
272 | 14
274 | 12347
276 | 1
280 | 1
282 | 1
284 | 19
298 | 4
302 | 2
304 | 15
308 | 329
312 | 3498
318 | 30
320 | 1
322 | 4
324 | 12
326 | 5
334 | 16
336 | 177
346 | 170
348 | 36
352 | 11
354 | 162
356 | 11
358 | 2
360 | 104
366 | 3
370 | 32
392 | 1
394 | 1
396 | 3
398 | 134
400 | 389
404 | 221
416 | 1
428 | 6
432 | 1
434 | 74
438 | 1
442 | 12087
446 | 7
448 | 1219
456 | 13
462 | 6550
466 | 8
468 | 248
470 | 7
480 | 1
494 | 2
496 | 17
498 | 9914
506 | 25
512 | 29
520 | 33
524 | 66
526 | 1
528 | 1
536 | 612
538 | 2
540 | 2
542 | 1
544 | 1
546 | 54
548 | 77
550 | 199
552 | 6
558 | 65
562 | 5
566 | 12
576 | 1
582 | 3
586 | 4952
592 | 55
608 | 4
610 | 14
612 | 44
618 | 51
620 | 29
622 | 28908
626 | 95
628 | 710
630 | 4059
632 | 27
634 | 1
638 | 5
640 | 1075
642 | 919
644 | 2
654 | 4
660 | 1435
662 | 12
664 | 390
666 | 3
668 | 9
672 | 4
676 | 14
686 | 1
688 | 929
696 | 27
702 | 171
706 | 67
708 | 14
712 | 16
720 | 1
722 | 22
726 | 1
728 | 32
730 | 10
742 | 22681
746 | 6
748 | 2
752 | 1531
756 | 2
766 | 61
772 | 1
774 | 141
780 | 11
782 | 1
786 | 41
794 | 1
796 | 13
798 | 1
800 | 6
802 | 6
816 | 2
820 | 118
822 | 5466
826 | 24
828 | 2
832 | 106
838 | 1
840 | 1
844 | 15
850 | 1
854 | 3
862 | 1
866 | 25
870 | 75
872 | 5
876 | 15
880 | 7
882 | 2
884 | 66
886 | 2
890 | 162
894 | 9
896 | 3
898 | 4
900 | 401
914 | 7
918 | 6
922 | 1
926 | 150
930 | 8
934 | 120
950 | 172
954 | 61
956 | 10
958 | 6
960 | 14
964 | 18
984 | 10
986 | 7
990 | 1
996 | 1
998 | 527
1004 | 30
1016 | 438
1028 | 33
1030 | 3
1034 | 1
1040 | 24
1050 | 21
1056 | 18
1062 | 17
1066 | 3
1068 | 16
1070 | 253
1072 | 9
1078 | 5
1088 | 3
1090 | 5
1094 | 10
1100 | 58
1102 | 3168
1110 | 1
1112 | 1
1118 | 6
1124 | 15
1126 | 2
1132 | 5
1138 | 33
1140 | 2
1154 | 1185
1156 | 3
1162 | 74
1164 | 2
1166 | 2
1172 | 5
1174 | 13
1178 | 24
1180 | 1
1190 | 334
1194 | 1
1200 | 3
1204 | 1
1206 | 7
1208 | 38
1212 | 2
1214 | 1
1224 | 2
1228 | 3
1236 | 4
1238 | 1
1242 | 6092
1252 | 2
1268 | 2
1274 | 2
1284 | 951
1286 | 4
1294 | 4
1298 | 12
1306 | 76
1310 | 57
1312 | 16
1318 | 48
1330 | 14
1352 | 39
1354 | 56
1356 | 44
1358 | 29
1360 | 8
1366 | 5
1368 | 24
1374 | 975
1380 | 6
1382 | 44
1386 | 17
1390 | 20
1392 | 130
1406 | 24
1412 | 10
1424 | 5289
1430 | 14
1432 | 1
1434 | 5
1438 | 103
1454 | 5
