0 | 355
2 | 210
4 | 166
6 | 52
8 | 30
10 | 27
12 | 15
14 | 12
16 | 9
18 | 14
20 | 19
22 | 3
24 | 4
26 | 1
28 | 7
30 | 8
32 | 4
34 | 1
36 | 10
38 | 5
40 | 19
42 | 8
44 | 13
48 | 4
50 | 2
52 | 1
54 | 6
58 | 3
60 | 11
62 | 2
64 | 4
66 | 1
70 | 1
72 | 5
74 | 6
76 | 4
78 | 6
80 | 9
82 | 3
84 | 1
86 | 4
88 | 3
90 | 1
92 | 2
94 | 3
96 | 1
98 | 1
100 | 4
102 | 3
108 | 1
110 | 16
112 | 2
114 | 2
116 | 4
118 | 2
120 | 7
122 | 13
124 | 3
126 | 1
128 | 8
132 | 1
134 | 3
136 | 4
138 | 9
140 | 4
144 | 2
146 | 10
150 | 1
152 | 1
154 | 3
156 | 2
160 | 13
162 | 3
164 | 6
168 | 16
174 | 1
176 | 4
178 | 2
180 | 1
188 | 11
190 | 1
192 | 1
194 | 2
196 | 7
198 | 5
200 | 11
202 | 2
206 | 13
210 | 2
212 | 14
214 | 3
216 | 2
218 | 3
220 | 7
226 | 5
228 | 5
234 | 6
238 | 2
240 | 2
248 | 1
250 | 6
252 | 3
254 | 4
256 | 1
258 | 16
260 | 7
266 | 7
270 | 1
272 | 1
274 | 1
276 | 1
280 | 11
282 | 1
290 | 2
294 | 7
296 | 7
302 | 1
304 | 4
306 | 1
308 | 1
310 | 6
312 | 2
314 | 2
316 | 2
318 | 1
320 | 3
322 | 1
326 | 4
328 | 5
336 | 1
338 | 3
340 | 1
342 | 4
344 | 3
346 | 12
350 | 2
352 | 1
354 | 1
356 | 13
358 | 2
360 | 5
362 | 1
364 | 2
368 | 8
370 | 4
374 | 13
376 | 4
378 | 2
384 | 1
386 | 1
388 | 2
392 | 13
394 | 1
398 | 3
400 | 4
402 | 1
404 | 2
406 | 5
408 | 9
414 | 7
416 | 5
418 | 10
420 | 4
422 | 1
424 | 3
426 | 2
432 | 1
434 | 1
438 | 8
440 | 6
442 | 4
444 | 6
448 | 3
450 | 2
454 | 5
456 | 3
458 | 1
460 | 7
462 | 5
468 | 3
472 | 5
474 | 2
478 | 5
480 | 5
482 | 3
484 | 5
486 | 5
498 | 7
500 | 1
504 | 5
508 | 1
510 | 2
514 | 7
516 | 4
518 | 4
522 | 2
526 | 6
530 | 4
532 | 15
534 | 2
536 | 13
538 | 6
540 | 1
542 | 2
544 | 3
546 | 1
548 | 11
550 | 2
552 | 3
554 | 3
556 | 3
560 | 1
564 | 3
566 | 1
568 | 4
572 | 1
574 | 2
576 | 4
578 | 2
580 | 7
582 | 10
592 | 1
594 | 4
596 | 5
598 | 5
600 | 6
602 | 2
604 | 1
606 | 2
610 | 1
612 | 3
614 | 2
616 | 6
618 | 2
620 | 1
622 | 3
624 | 4
626 | 2
628 | 1
632 | 4
634 | 1
636 | 2
640 | 7
642 | 3
644 | 6
648 | 5
650 | 2
652 | 1
654 | 3
656 | 3
668 | 10
672 | 4
674 | 4
676 | 10
680 | 3
682 | 2
684 | 4
686 | 8
690 | 1
692 | 4
694 | 3
696 | 1
698 | 6
700 | 2
702 | 1
704 | 2
706 | 3
708 | 7
712 | 1
716 | 11
718 | 1
720 | 3
722 | 3
728 | 4
730 | 6
734 | 9
738 | 2
740 | 3
746 | 1
750 | 1
752 | 1
756 | 5
760 | 3
764 | 1
766 | 2
768 | 4
770 | 1
772 | 1
776 | 8
780 | 8
782 | 3
784 | 4
786 | 7
788 | 5
790 | 1
794 | 2
796 | 1
798 | 3
806 | 1
814 | 5
816 | 1
820 | 2
822 | 5
824 | 2
828 | 2
830 | 1
832 | 1
834 | 3
836 | 6
840 | 15
842 | 1
844 | 1
848 | 2
854 | 3
860 | 4
862 | 1
866 | 1
868 | 2
872 | 9
874 | 5
876 | 1
882 | 6
886 | 3
888 | 4
892 | 1
896 | 1
902 | 3
904 | 1
908 | 2
910 | 3
916 | 1
918 | 4
920 | 3
924 | 6
928 | 1
932 | 1
936 | 4
938 | 4
940 | 1
944 | 3
946 | 2
948 | 5
950 | 2
952 | 1
954 | 1
960 | 9
964 | 3
966 | 9
972 | 2
976 | 2
978 | 1
980 | 8
982 | 4
986 | 4
990 | 1
992 | 1
994 | 2
996 | 3
998 | 1
1000 | 1
1002 | 11
1008 | 3
1016 | 1
1024 | 5
1030 | 1
1032 | 2
1038 | 10
1040 | 3
1044 | 2
1048 | 3
1056 | 2
1062 | 2
1064 | 9
1068 | 3
1070 | 6
1074 | 1
1076 | 2
1078 | 5
1088 | 6
1090 | 2
1092 | 4
1094 | 1
1096 | 7
1098 | 2
1102 | 1
1106 | 11
1108 | 5
1110 | 3
1112 | 1
1116 | 11
1118 | 3
1120 | 3
1122 | 5
1126 | 1
1128 | 3
1132 | 2
1134 | 1
1138 | 2
1144 | 1
1146 | 5
1150 | 2
1154 | 5
1156 | 5
1158 | 6
1160 | 1
1170 | 1
1174 | 4
1176 | 1
1180 | 3
1182 | 1
1184 | 5
1186 | 3
1188 | 1
1196 | 9
1198 | 4
1200 | 2
1202 | 1
1204 | 2
1208 | 1
1212 | 1
1216 | 2
1218 | 2
1222 | 2
1224 | 4
1230 | 2
1232 | 3
1234 | 8
1236 | 5
1238 | 2
1240 | 2
1242 | 2
1250 | 4
1256 | 1
1258 | 1
1266 | 6
1272 | 2
1282 | 6
1286 | 2
1288 | 2
1290 | 2
1292 | 3
1294 | 6
1296 | 7
1298 | 3
1310 | 5
1312 | 6
1316 | 2
1318 | 2
1320 | 4
1324 | 4
1328 | 1
1332 | 4
1336 | 7
1340 | 2
1342 | 12
1344 | 3
1346 | 2
1348 | 5
1352 | 8
1354 | 3
1358 | 1
1362 | 4
1364 | 7
1366 | 1
1368 | 2
1370 | 2
1374 | 2
1378 | 5
1380 | 3
1382 | 9
1388 | 1
1390 | 3
1392 | 1
1394 | 2
1396 | 4
1398 | 2
1400 | 7
1402 | 3
1404 | 10
1408 | 9
1410 | 1
1414 | 3
1418 | 2
1420 | 2
1422 | 4
1424 | 2
1426 | 5
1432 | 2
1434 | 1
1438 | 2
1440 | 2
1446 | 5
1450 | 1
1452 | 4
1454 | 7
1456 | 4
1458 | 1
1460 | 1
1464 | 5
1468 | 1
1470 | 3
1476 | 2
1480 | 5
1482 | 8
1488 | 1
1490 | 1
1496 | 3
1498 | 5
1502 | 1
1512 | 2
1514 | 2
1520 | 2
1526 | 7
1528 | 2
1532 | 3
1534 | 5
1542 | 4
1548 | 4
1550 | 5
1560 | 4
1566 | 2
1570 | 2
1576 | 3
1582 | 1
1584 | 5
1586 | 3
1588 | 4
1596 | 2
1600 | 1
1602 | 5
1604 | 3
1606 | 3
1608 | 2
1610 | 2
1618 | 3
1624 | 1
1626 | 2
1628 | 1
1632 | 1
1634 | 4
1636 | 3
1640 | 3
1642 | 6
1644 | 4
1648 | 7
1650 | 3
1656 | 3
1658 | 4
1660 | 1
1664 | 1
1668 | 1
1670 | 2
1672 | 9
1676 | 3
1678 | 1
1680 | 1
1682 | 3
1686 | 5
1688 | 11
